country,"Population (2023), millions",Fossil CO2/GtCO2,Land CO2/GtCO2,Territorial Total/GtCO2,Emp Fossil Total/GtCO2,Emp Land Total/GtCO2,Empire Total/GtCO2,Col Fossil Total/GtCO2,Col Land Total/GtCO2,Colonial Total/GtCO2,Cons Total/GtCO2,Emp Cons Total/GtCO2,Col Cons Total/GtCO2,Temperature increase/degC,Col Temperature increase/degC,Difference in temp increase/degC,Share/percent,Col share/percent,Change/percent,Territorial per yearly capita /tCO2/pc,Colonial per yearly capita /tCO2/pc,Territorial per 2023 capita /tCO2/pc,Colonial per 2023 capita /tCO2/pc,Consumption per yearly capita /tCO2/pc,Colonial consumption per yearly capita /tCO2/pc,Consumption per 2023 capita /tCO2/pc,Colonial consumption per 2023 capita /tCO2/pc
Burundi,13.238559,0.015258994229271709,0.7733971199999955,0.7886561142292672,-0.00021481700000000001,-0.377025599999998,-0.377240416999998,0.015044177229271708,0.3963715199999975,0.4114156972292692,0.7886561142292672,-0.377240416999998,0.4114156972292692,0.00035489525140317024,0.00018513706375317113,-0.0001697581876499991,0.030835792188176173,0.016086008481799908,-47.833321798140766,316.3203195202492,121.46444879264402,59.57265547022657,31.077075475455388,316.3203195202492,121.46444879264402,59.57265547022657,31.077075475455388
Cambodia,16.94483,0.22460671478768202,2.9616600533333304,3.1862667681210124,0.0,-0.9783857066666644,-0.9783857066666644,0.22460671478768202,1.983274346666666,2.207881061454348,3.515586771076995,-0.9783857066666644,2.537201064410331,0.0014338200456544556,0.0009935464776544565,-0.00044027356799999917,0.12458035656502761,0.08632629654275945,-30.706333708637736,568.3242888653178,255.8247394127499,188.03769457238653,130.29821257896052,590.0895760327583,277.5900265801903,207.472531213178,149.73304921975202
Cameroon,28.647294,0.2618020738386051,3.6503943466666637,3.912196420505269,-0.0025035563333333333,-1.512784177777776,-1.5152877341111095,0.2592985175052718,2.1376101688888878,2.3969086863941595,3.957728969502144,-1.5152877341111095,2.4424412353910343,0.001760488389227371,0.0010786089088773718,-0.0006818794803499992,0.1529635967381312,0.09371711803682076,-38.73240428749757,640.2830811584319,248.8471355240747,136.56425701168385,83.66963687370121,642.7680970107817,251.3321513764246,138.15367585860443,85.25905572062179
Canada,38.781288,35.242698569415815,25.05925626666666,60.30195483608248,-0.006771072,-1.1950868799999999,-1.201857952,35.235927497415815,23.864169386666664,59.10009688408248,60.238041232796256,-1.201857952,59.03618328079626,0.027135879676237117,0.026595043597837115,-0.0005408360784000012,2.3577558257865334,2.310764188520401,-1.993066319768542,4299.770961574556,3913.7010300720904,1554.9239838574335,1523.9333176371676,4300.030111964208,3913.960180461742,1553.2759312376695,1522.2852650174036
Central African Republic,5.74232,0.011284078994764878,1.0320755199999951,1.04335959899476,-9.8928e-05,-0.4195768533333315,-0.4196757813333315,0.011185150994764878,0.6124986666666636,0.6236838176614284,1.04335959899476,-0.4196757813333315,0.6236838176614284,0.000469511819547642,0.0002806577179476428,-0.00018885410159999916,0.04079448468307748,0.024385513845069064,-40.223503165895465,564.6399781266681,233.06598679265264,181.69652666426808,108.61181850914411,564.6399781266681,233.06598679265264,181.69652666426808,108.61181850914411
Chad,18.278574,0.04061382867018466,1.1154925866666625,1.156106415336847,-6.2288e-05,-0.1944606933333308,-0.1945229813333308,0.04055154067018466,0.9210318933333316,0.9615834340035163,1.156106415336847,-0.1945229813333308,0.9615834340035163,0.0005202478869015811,0.00043271254530158234,-8.753534159999874e-05,0.045202790579495576,0.03759710526241537,-16.82569863403568,250.89284847263306,163.4636135326351,63.249267439399105,52.60713631181056,250.89284847263306,163.4636135326351,63.249267439399105,52.60713631181056
Chile,19.629588,3.1733467666390345,3.1500629333333316,6.323409699972366,0.0,0.0,0.0,3.1733467666390345,3.1500629333333316,6.323409699972366,6.404298160370239,0.0,6.404298160370239,0.0028455343649875647,0.0028455343649875647,0.0,0.2472400123590005,0.24724001235900045,0.0,922.6928276052096,922.6928276052096,322.1366490204668,322.1366490204668,927.175703892322,927.175703892322,326.2573906477425,326.2573906477425
China,1425.671296,272.4444883658395,34.47618816,306.9206765258395,1.0544646662914618,0.9316697066666657,1.9861343729581276,273.498953032131,35.40785786666667,308.90681089879763,280.3471981622044,3.2090793434353047,283.5562775056397,0.13811430443662778,0.13900806490445894,0.0008937604678311561,12.000340869549062,12.077997056672116,0.647116510832701,277.36736085538985,280.52915491860955,215.2815150217063,216.67463725018254,257.54911207598985,261.62092086006834,196.6422407105855,198.89316583788448
Colombia,52.085168,3.6930687251003347,16.32539168,20.018460405100335,0.0,0.0,0.0,3.6930687251003347,16.32539168,20.018460405100335,20.417737892143276,0.0,20.417737892143276,0.00900830718229515,0.00900830718229515,0.0,0.7827050013834779,0.7827050013834779,0.0,2028.539193297721,2028.539193297721,384.3409011390793,384.3409011390793,2037.2750714480808,2037.2750714480808,392.00675885586617,392.00675885586617
Congo,6.106869,0.12586303431708487,2.3061338133333305,2.4319968476504155,-0.000186864,-1.353860213333332,-1.354047077333332,0.12567617031708486,0.9522735999999986,1.0779497703170835,2.4319968476504155,-1.354047077333332,1.0779497703170835,0.0010943985814426869,0.00048507739664268754,-0.0006093211847999993,0.09508903569426581,0.042146931352042886,-55.676350018360225,2455.7951014513646,614.4819427819668,398.2395639484678,176.51431041292741,2455.7951014513646,614.4819427819668,398.2395639484678,176.51431041292741
Costa Rica,5.212178,0.27742642882077523,1.3775785066666626,1.6550049354874379,0.0,0.0,0.0,0.27742642882077523,1.3775785066666626,1.6550049354874379,1.7738606717443608,0.0,1.7738606717443608,0.000744752220969347,0.000744752220969347,0.0,0.0647093040177215,0.06470930401772149,0.0,2094.436538397144,2094.436538397144,317.5265571297523,317.5265571297523,2121.3139053776217,2121.3139053776217,340.33002551800047,340.33002551800047
Croatia,4.008615,1.1535434134491065,0.37287306666666364,1.52641648011577,-0.00363594,-0.2331769599999979,-0.2368128999999979,1.1499074734491064,0.13969610666666574,1.2896035801157721,1.6434796781953496,-0.2368128999999979,1.4066667781953517,0.0006868874160520965,0.0005803216110520974,-0.00010656580499999904,0.05968160333031311,0.05042241768510241,-15.514304456542357,409.782777783877,304.5464571940958,380.784006474997,321.708016388646,436.91786599802634,331.6815454082452,409.986910240906,350.910920154555
Cuba,11.194447,1.6824273481969292,3.2135111999999992,4.895938548196929,0.0,-0.1608740266666651,-0.1608740266666651,1.6824273481969292,3.052637173333334,4.735064521530264,4.895938548196929,-0.1608740266666651,4.735064521530264,0.002203172346688618,0.0021307790346886185,-7.239331199999964e-05,0.19142708832711022,0.18513704889767352,-3.2858669503911884,784.2034606596166,675.6412080386251,437.3542121550916,422.9833346417437,784.2034606596166,675.6412080386251,437.3542121550916,422.9833346417437
Cyprus,1.260144,0.3166899186551613,0.010185919999997767,0.326875838655159,-0.005212804,-0.0632772799999968,-0.0684900839999968,0.31147711465516126,-0.05309135999999903,0.2583857546551622,0.3652982461109102,-0.0684900839999968,0.2968081621109134,0.00014709412739482156,0.000116273589594823,-3.0820537799998565e-05,0.012780570961472469,0.010102666157249173,-20.95293561059161,491.484519792612,271.39314254727,259.39562355981457,205.04462557863405,532.5581662205669,312.46678897522486,289.8861131036693,235.5351151224887
Czech Republic,10.495297,12.271497046888598,-1.026994773333335,11.244502273555263,-1.333926409,-0.2942314133333314,-1.6281578223333315,10.937570637888598,-1.3212261866666666,9.61634445122193,11.142049934133542,-1.6281578223333315,9.51389211180021,0.005060026023099868,0.004327355003049869,-0.0007326710200499988,0.4396506019682327,0.3759909975434465,-14.479589960708367,1128.4694347232435,948.0038108502602,1071.3848568130338,916.2527226453841,1118.3952055218206,937.9295816488373,1061.623118824893,906.4909846572432
Côte d'Ivoire,28.87304,0.3718762971441834,9.030331039999997,9.40220733714418,-0.00104424,-2.0249828799999996,-2.0260271199999993,0.3708320571441834,7.005348159999997,7.376180217144181,9.468087912900423,-2.0260271199999993,7.442060792900424,0.004230993301714881,0.003319281097714881,-0.0009117122039999999,0.36761841609718426,0.28840245604470505,-21.54841993322159,2393.5163600187743,1577.7760343256664,325.6396741439135,255.4694696902086,2396.513584583219,1580.7732588901115,327.9214074063702,257.7512029526653
Democratic Republic of the Congo,102.262808,0.2007924019944463,20.06763029333333,20.26842269532778,-0.031093138,-3.810389013333333,-3.841482151333333,0.16969926399444632,16.25724128,16.426940543994444,20.26842269532778,-3.841482151333333,16.426940543994444,0.0091207902128975,0.0073921232447974996,-0.0017286669681000006,0.7924783171509804,0.6422795889906517,-18.953039459843428,732.9834755848792,398.2705222581682,198.19935606821767,160.6345539034528,732.9834755848792,398.2705222581682,198.19935606821767,160.6345539034528
Denmark,5.910911,4.172828186732625,0.5729274666666629,4.7457556533992875,0.0,0.0,0.0,4.172828186732625,0.5729274666666629,4.7457556533992875,5.125734908591896,0.0,5.125734908591896,0.0021355900440296794,0.0021355900440296794,0.0,0.1855550631812397,0.18555506318123965,0.0,1117.693823753875,1117.693823753875,802.8805802353119,802.8805802353119,1186.1479678458109,1186.1479678458109,867.1649613049318,867.1649613049318
